Domain,Mean_High_Screen,Mean_Low_Screen,Mean_Difference,T-Statistic,P-Value,Significant
Physical_Score,3.0694444444444446,2.552469135802469,0.5169753086419755,2.951918961589135,0.0039605721283985955,True
Psychological_Score,2.8472222222222223,2.432098765432099,0.4151234567901234,2.47636411212824,0.015004670033419305,True
Academic_Score,3.1527777777777777,2.5277777777777777,0.625,3.027231557455688,0.0031611785114646156,True
Social_Score,2.361111111111111,1.8703703703703705,0.4907407407407407,2.6452319714621257,0.00952385193896064,True
Habit_Score,2.9583333333333335,2.1419753086419755,0.816358024691358,4.6972608235713516,8.689084567292846e-06,True
Overall_Health_Impact,2.8777777777777778,2.304938271604938,0.5728395061728397,4.728697268391677,7.664332031487736e-06,True
