Domain,Correlation_Coefficient,P-Value,Significant
Physical_Score,0.15833521913129878,0.117512830362955,False
Psychological_Score,0.21186523944142538,0.0352720304559004,True
Academic_Score,0.2804154590561098,0.004934161300089911,True
Social_Score,0.20994612968194365,0.037004605531781413,True
Habit_Score,0.460656631239332,1.6036258017646942e-06,True
Overall_Health_Impact,0.3797655890226345,0.00010578624612459218,True
