CODE,Age,Gender,Annual_Income,Family_Type,Devices_Owned_Raw,Daily_Screen_Time,Daily_Study_Hours,Physical_1,Physical_2,Physical_3,Physical_4,Psychological_1,Psychological_2,Psychological_3,Psychological_4,Academic_1,Academic_2,Academic_3,Academic_4,Social_1,Social_2,Social_3,Social_4,Habit_1,Habit_2,Habit_3,Habit_4
53,2,1,3,2,1,2,4,4,5,1,1,3,5,1,4,2,4,4,4,1,1,1.0,1,2,1,4,1
54,2,1,2,2,1,2,4,4,2,1,2,2,4,1,2,1,2,2,4,1,1,1.0,1,2,1,2,1
55,2,1,3,2,1,3,4,3,3,2,1,2,4,2,3,4,2,3,3,2,2,2.0,2,4,3,2,4
56,2,1,4,1,1,1,4,2,3,3,1,1,1,1,1,2,1,1,1,1,1,1.0,4,2,2,1,1
57,2,1,2,1,1,2,3,4,1,3,1,3,2,2,3,2,2,3,1,2,3,1.0,2,1,2,2,1
58,2,1,2,2,1,2,3,2,4,3,3,1,2,3,4,4,2,3,4,2,1,2.0,1,1,4,4,2
59,2,1,3,1,1,2,3,5,3,1,4,3,2,1,1,4,3,4,4,1,1,3.0,1,1,4,4,4
60,2,1,4,1,1,1,3,4,2,2,1,2,3,2,4,2,4,2,3,1,2,4.0,1,1,2,2,2
61,2,1,1,2,1,2,4,4,3,2,4,4,4,2,3,2,1,2,4,2,1,2.0,2,2,2,4,2
62,2,1,1,2,1,2,4,4,4,3,1,2,2,2,2,3,2,2,2,4,1,1.0,2,2,2,4,2
63,2,1,1,1,1,2,3,5,3,2,4,3,5,1,3,2,3,4,3,2,4,3.0,1,1,3,4,1
64,2,1,2,1,1,2,3,5,3,3,2,2,3,4,4,2,4,2,2,1,3,4.0,4,2,1,4,2
65,2,2,4,1,1,3,4,5,1,3,4,4,4,3,3,5,2,5,4,2,2,2.0,4,1,5,5,2
66,2,2,3,1,1,3,4,1,1,4,1,3,3,1,4,2,3,5,2,3,4,4.0,4,2,4,3,4
67,3,2,3,1,1,2,3,3,4,5,2,2,4,5,3,2,4,1,5,5,3,2.0,1,5,3,5,5
68,2,2,1,2,1,4,4,4,2,1,5,5,4,3,1,4,2,4,5,3,5,5.0,4,3,4,4,5
69,2,2,1,1,1,2,4,4,4,2,3,4,3,2,3,2,1,4,1,2,2,2.0,2,1,2,2,1
70,2,2,3,1,1,2,4,3,1,1,1,2,2,1,2,1,1,4,1,1,1,1.0,1,2,3,1,1
71,2,2,2,1,1,3,3,4,3,2,2,4,2,3,2,2,2,4,2,1,1,4.0,4,1,2,4,2
72,3,2,3,1,1,3,3,4,3,2,5,4,4,2,4,4,4,5,5,2,3,2.0,4,4,4,5,4
73,2,2,1,2,1,1,4,3,4,5,2,2,3,2,3,2,1,4,3,2,4,1.0,2,1,4,2,3
74,2,2,3,1,1,1,4,3,2,1,5,3,2,2,3,4,3,4,3,2,2,3.0,3,1,2,4,1
75,2,2,3,2,1,2,3,4,3,2,3,1,4,1,4,4,2,1,4,2,2,4.0,2,1,1,4,4
76,2,2,4,2,1,2,3,2,3,4,1,2,3,2,1,4,3,2,4,1,1,2.0,2,1,4,3,1
77,2,2,4,1,1,1,4,5,3,2,3,1,4,1,5,1,1,2,2,2,1,1.0,1,2,1,1,4
78,2,2,4,1,1,3,3,4,2,2,5,1,5,2,4,5,2,4,4,3,1,1.0,1,2,3,5,4
79,2,2,4,1,1,1,3,5,2,1,1,3,4,2,3,4,3,2,3,1,1,2.0,2,1,1,3,3
80,2,2,2,2,2,3,3,4,2,1,3,3,2,2,2,4,3,2,3,1,2,3.0,1,2,2,3,1
81,3,1,3,2,1,3,2,4,3,2,2,2,5,3,5,5,4,4,4,4,3,4.0,4,4,4,4,1
82,3,1,2,2,1,3,2,4,2,2,2,2,2,3,2,3,4,2,2,2,2,2.0,4,2,2,2,5
83,2,1,3,2,1,2,3,3,4,5,2,4,2,2,1,1,1,3,5,2,1,3.0,4,2,4,1,2
84,2,1,4,2,1,1,3,3,3,5,4,4,2,2,1,4,3,5,4,2,2,5.0,5,2,2,3,3
85,2,1,2,1,1,2,3,2,3,2,4,4,4,3,3,4,4,2,4,2,2,1.0,4,2,1,3,1
86,2,1,4,1,1,2,4,4,1,1,2,2,2,1,2,2,4,1,2,4,2,4.0,1,4,4,1,1
87,2,1,3,2,1,2,4,4,2,1,2,2,5,1,3,4,3,2,2,2,1,2.0,1,2,3,2,4
88,1,1,4,1,1,1,3,2,1,1,2,3,2,1,1,2,2,1,2,1,1,1.0,1,1,1,2,1
89,2,1,3,2,1,2,3,2,1,4,2,2,1,2,3,3,1,3,4,1,2,2.0,1,2,3,4,1
90,2,1,3,1,1,3,3,4,2,5,3,2,4,1,4,1,2,1,1,2,2,1.0,4,1,4,4,3
